"KOD";"PORC_ADB";"CIS_ADB";"CP";"PPC";"PUV_ZN";"AUTOR_ADB";"INST_ADB";"ROK_ADB";"TVAR_ADB";"HROB";"KULT1";"KULT2";"KULT3";"KULT4";"KULT5";"KULT6";"POZN_ADB";"V_SYST"
"P1/PRAHA - NO/2010/365";7;0;;"2383/1";"plocha G";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"vs-no";;;;;;"Vladislavova, p.è. 2383/1.";"B"
"P1/PRAHA - NO/2010/365";8;0;;"2383/1";"plocha H";"Cymbalak T.";"NPÚ Praha";"2010";"P";0;"vs-no";;;;;;"Vladislavova, p.è. 2383/1.";"B"
"P1/PRAHA - NO/2010/452";1;0;;"1126";"Kanalizaèní šachta 1";"Starec P.";"MM Praha";"2010";"P";0;"rs.4";"vs.1";"vs.2";"novove";;;;"B"
"P1/PRAHA - NO/2010/812";1;0;"767";"606";"Sektor 1-4";"Starec P.";"MM Praha";"2010";"P";0;"stredo";"no.1";"no.2";;;;"První a druhı suterén objektu.";"B"
"P1/PRAHA - NO/2010/815";0;0;;"2398/1";"1";"Selmi Wallisová M.";"ÈSA, o.p.s";"2010";"B";0;"no.2";;;;;;"Podloí sníeno ji v minulosti, vıkop zasáhl pouze naváky su. charakteru s pøevahou cihlové drti";"B"
"P1/PRAHA - NO/2010/832";1;0;;"2384/1";"S 1";"Cymbalak T.";"NPÚ Praha";"2010";"L";0;"vs.1";"vs.2";"novove";;;;;"B"
"P1/PRAHA - NO/2010/986";1;0;;"2537/";"Sonda 1";"Starec P.";"MM Praha";"2010";"P";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";2;0;;"2537/";"Sonda 2";"Starec P.";"MM Praha";"2010";"B";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";3;0;;"2537/";"Sonda 3";"Starec P.";"MM Praha";"2010";"B";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";4;0;;"2537/";"Sonda 4";"Starec P.";"MM Praha";"2010";"B";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";5;0;;"2537/";"Sonda 5";"Starec P.";"MM Praha";"2010";"B";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";6;0;;"2537/";"Sonda 6";"Starec P.";"MM Praha";"2010";"B";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";7;0;;"2537/";"Sonda 7";"Starec P.";"MM Praha";"2010";"B";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";8;0;;"2537/";"Sonda 8";"Starec P.";"MM Praha";"2010";"B";0;"no.2";;;;;;"Ppè. 2537/115.";"B"
"P1/PRAHA - NO/2010/986";9;0;;"2537/";"Sonda 9";"Starec P.";"MM Praha";"2010";"O";1;"rstred";;;;;;"Ppè. 2537/115. Další místo nálezù lidskıch kostí (sonda 10): v okolí bodu 741585,00/1043182,00/194,30. Datování do rstred nejisté.";"B"
"P1/PRAHA - NO/2011/254";0;0;;"2394";"1";"Selmi Wallisová";"ÈSA";"2011";"L";1;"vs.1";"novove";;;;;"Ve vıkopu pro vodovod nebylo dosaeno podloí, povrch a dno vıkopu je témìø konstantní, proto vyplnìn jen první bod, sídl. vrstvy Opatovice mezi 193,3 a 194,1, barokní høbitovní horizont od 194,6 obojí a pod dno vıkopu.";"B"
"P1/PRAHA - NO/2011/463";1;0;"841";"581";"Plocha Diamant";"Starec P.";"MM Praha";"2011";"P";0;"vs.2";"no.1";;;;;;"B"
"P1/PRAHA - NO/2011/575";1;0;"1308";"555";"V1";"Starec P.";"MM Praha";"2011";"P";0;"-";;;;;;;"B"
