"KOD";"AUTORI";"TITUL";"MISTO";"CASOP";"ROCNIK";"ROK";"STR"
"PJ/INKOVY   /    /671";"Reichertová K.";"ASM III,'65,32";;;;;
"UL/ÚSTÍ NAD L/    /253";"Reichertová K.";"ASM III,'65,28";;;;;
"DO/HLOHOVÈICE/    /505";"Reichertová K.";"ASM III,26";;;;;
"PI/ZHOØ      /    /479";"Reichertová K.";"ASM III,1965,28,30";;;;;
"KL/HRADEÈNO  /    /373";"Reichertová K.";"ASM III,1965,26";;;;;
"KH/POTÌHY    /    /127";"Reichertová K.";"ASM III,1965, str.28,33";;;;;
"LN/PØIBENICE /    /581";"Reichertová K.";"ASM III,1965, str.14";;;;;
"TA/LHOTA SAMO/    /461";"Reichertová K.";"ASM III,1965";;;;;
"TP/TEPLICE   /    /024";"Reichertová K.";"ASM III 1965,14";;;;;
"KH/ÈERNÉ BUDY/    /142";"Reichertová K.";"AR 24 1972,403n.";;;;;
"BE/HOØOVICE  /1956/811";"Reichertová K.";"AR 14";;;;"1962";"704-705"
"LT/LEVÍN     /1957/619";"Reichertová K.";"AR 14";;;;"1962";"705-710"
"SY/ÈISTÁ     /    /418";"Reichertová K.";"1977: Litomyšl, 8. Praha";;;;;
"SY/BENÁTKY   /    /299";"Reichertová K.";"1977: Litomyšl, 8 - 9. Praha";;;;;
"P1/PRAHA - ST/1965/628";"Reichertová K., Muk J.";"AR 18";;;;"1966";"680-693"
"P1/PRAHA - ST/1992/921";"Reichertová K., Muk J.";"AR 18";;;;"1966";"980-693"
"SO/KRASLICE  /    /008";"Reiner";"Die Herrenmühle in Graslitz";;;;;
"RA/LUBNÁ     /    /733";"Renner J.";"1915, str.39";;;;;
"ST/VOLYNÌ    /1978/328";"Renı J.";"Volyòskı poklad, Naše noviny roè. 34 è. 2, 11. 1.";;;;"1979";
"JH/SEDLO     /1998/835";"Richlı J.";"Pøíspìvky ku poznání prvotního osídlení jiho-vıchodní èásti hvozdu....";;;;"1892";"35-36"
"CB/HOLAŠOVICE/1889/558";"Richlı J.";"Prähistorische...., MCC N.F. 26";;;;"1900";"55"
"TA/SOBÌSLAV  /    /470";"Richlı J.";"PA XII 1884,223n";;;;;
"TA/SKALICE   /    /465";"Richlı J.";"PA 21";;;;"1904";"81n."
"CB/JAROSLAVIC/    /057";"Richlı J.";"PA 20";;;;"1902";"339-344"
"CB/KØTÌNOV   /1985/743";"Richlı J.";"PA 12, 1882-1884";;;;;"160-162"
"CB/BØEZÍ U Tİ/1971/043";"Richlı J.";"PA 12";;;;"1882";"563-564"
"CB/KØTÌNOV   /    /109";"Richlı J.";"PA 12";;;;"1882";"160-162,"
"JH/JINDØICHÙV/1987/837";"Richlı J.";"PA 11, Vızkumy v Hradci";;;;"1879";"161-6"
"CB/ÈESKÉ BUDÌ/    /578";"Richlı J.";"MCC, N.F.28";;;;"1902";"38"
"CB/PLAV      /    /152";"Richlı J.";"MCC, N.F. 26";;;;"1900";"54"
"CB/STRÁKOVIC/    /159";"Richlı J.";"MCC, N.F. 26";;;;"1900";"145"
"CB/ÈERVENİ ÚJ/    /024";"Richlı J.";"MCC, N.F. 25, Notizen 158";;;;"1899";"212-214"
"CB/HOMOLE    /    /146";"Richlı J.";"MCC, N.F. 21";;;;"1895";"168"
"CB/HOMOLE    /1895/631";"Richlı J.";"MCC, N.F. 21";;;;"1895";"170"
"CB/PÌÈÍN     /    /007";"Richlı J.";"MCC, N.F. 21";;;;"1895";"171"
"CB/PLAV      /    /152";"Richlı J.";"MCC, N.F. 21";;;;"1895";"171-172"
"CB/STRÁKOVIC/    /159";"Richlı J.";"MCC, N.F. 21";;;;"1895";"61-62"
"CB/ÈERVENİ ÚJ/    /019";"Richlı J.";"MCC, N.F. 18";;;;"1892";"56"
"TA/RADÌTICE  /1974/037";"Richlı J.";"MCC XIX";;;;"1893";"142"
"TA/RADÌTICE  /1974/054";"Richlı J.";"MCC XIX";;;;"1893";"141"
"TA/RADÌTICE  /1977/631";"Richlı J.";"MCC XIX";;;;"1893";"142"
"JH/MALÍKOV NA/    /863";"Richlı J.";"MAGW XXXII,1902, str.38";;;;;
"TA/RADÌTICE  /1974/054";"Richlı J.";"MAGW XXIII";;;;"1893";"55"
"TA/RADÌTICE  /1977/625";"Richlı J.";"MAGW XXIII";;;;"1893";"Sitzb.55"
"CB/JAROSLAVIC/    /057";"Richlı J.";"MAGW 33";;;;"1903";"77-79"
"CB/HOMOLE    /1895/631";"Richlı J.";"MAGW 25";;;;"1895";"61"
"CB/KOLODÌJE N/    /105";"Richlı J.";"MAGW 23";;;;"1893";"55"
"CB/KOLODÌJE N/1968/034";"Richlı J.";"MAGW 23";;;;"1893";"55"
"CB/NUZICE    /    /004";"Richlı J.";"MAGW 23";;;;"1893";"55-56"
"CB/JAROSLAVIC/    /057";"Richlı J.";"JZK I";;;;"1903";"53-60"
"PS/KYŠICE    /    /809";"Richlı J.";"Die Bronzezeit in Böhmen,92-93";;;;;
"RA/KRUPÁ     /    /701";"Richlı J.";"Die Bronzezeit in Böhmen,1894,89-92";;;;;
"PJ/SMEDEROV  /    /597";"Richlı J.";"Die Bronzezeit in Böhmen,1894,131-3";;;;;
"CB/HOLAŠOVICE/1889/558";"Richlı J.";"Die Bronzezeit in Böhmen, Wien (Taf. VIII)";;;;"1894";"73"
"CB/HRADCE    /1889/224";"Richlı J.";"Die Bronzezeit in Böhmen, Wien";;;;"1894";"108"
"KL/HOSPOZÍN  /1886/200";"Richlı J.";"Die Bronzezeit in Böhmen";;;;"1893";"73-77"
"CB/KOSTELEC  /    /035";"Richlı J.";"Die Bronzezeit in Böhmen";;;;"1894";"186-187"
"CB/KØTÌNOV   /    /109";"Richlı J.";"Die Bronzezeit in Böhmen";;;;"1894";"187-189"
"PB/BÌØÍN     /1900/353";"Richlı J.";"Die Bronzezeit in B.";;;;"1894";"62 a n."
"KH/EHUŠICE  /    /212";"Richlı J.";"Bronzezeit..,1893,150-2";;;;;
"NB/PATØÍN    /    /591";"Richlı J.";"Bronzezeit..";;;;;"121-122"
"CB/CHOTİÈANY /    /165";"Richlı J.";;;;;"1904";"83-84"
"CB/CHOTİÈANY /    /165";"Richlı J.";;;;;"1904";"43"
"CB/KOLODÌJE N/    /105";"Richlı J.";;;;;"1893";"70"
"CB/KØTÌNOV   /    /109";"Richlı J.";;;;;"1891";"57"
"CB/LHOTICE   /    /164";"Richlı J.";;;;;"1904";"84"
"CB/LHOTICE   /    /164";"Richlı J.";;;;;"1904";"43"
"CB/NUZICE    /    /004";"Richlı J.";;;;;"1893";"143"
"CB/STRÁKOVIC/    /159";"Richlı J.";;;;;"1904";"41-44"
"CB/STRÁKOVIC/    /159";"Richlı J.";;;;;"1904";"41-44"
"NA/JAROMÌØ   /1977/745";"Richter M.";"Støedovìká archeologie a studium poèátkù mìst, ARÚ Praha.";;;;"1977";"49-61"
"PZ/HRADIŠKO /1958/118";"Richter M.";"Referáty 1956,Liblice 1957";;;;;"136-144"
"SY/BISKUPICE /    /311";"Richter M.";"Prehistorie Moravskotøebovska, 141-147.";;;;"1955";
"RK/KOSTELEC N/1991/423";"Richter M.";"Pravìk Kostelce a nové archeologické nálezy, Hradeckı kraj 2";;;;"1958";"125"
"PZ/KLÍNEC    /    /520";"Richter M.";"Praehistorica VIII,1981,301n.";;;;;
"TA/PLANÁ NAD /1968/652";"Richter M.";"Nìkteré vısledky a problémy vızkumu v Sezimovì Ústí, AR 19";;;;"1967";"715"
"LN/SLAVÌTÍN  /    /635";"Richter M.";"KDP";;;;;
"PZ/DAVLE     /    /388";"Richter M.";"Hradistko u Davle,Praha 1982, str.16";;;;;
"PZ/DAVLE     /    /387";"Richter M.";"Hradistko u Davle,1982";;;;;
"RK/KOSTELEC N/1957/730";"Richter M.";"Hradeckı kraj II 1958";;;;;"128-129"
"PV/NEHVIZDY  /    /191";"Richter M.";"CNM 128/129-1959,8";;;;;
"CL/DUBÁ      /    /894";"Richter M.";"CNM 128,1959,6";;;;;
"CL/DUBÁ      /    /898";"Richter M.";"CNM 128,1959,6";;;;;
"LT/ROUDNICE N/    /497";"Richter M.";"CNM 128,1959,10";;;;;
"NB/PODMOKY   /    /649";"Richter M.";"CNM 128,1959,10";;;;;
"CL/DUBNICE   /    /901";"Richter M.";"CNM 128,1959, str.8";;;;;
"TC/STØÍBRO   /    /572";"Richter M.";"CNM 128,1959, str.8";;;;;
"TA/LHOTA SAMO/1985/256";"Richter M.";"BZO 1984-85";;;;"1987";"188-89"
"NA/JAROMÌØ   /    /195";"Richter M.";"BZO 1974, 71a. Praha 1977.";;;;;
"NA/JAROMÌØ   /1977/745";"Richter M.";"BZO 1974";;;;;"66"
"NA/JAROMÌØ   /1983/100";"Richter M.";"BZO 1974";;;;"1977";"66"
"NA/JAROMÌØ   /    /193";"Richter M.";"BZO 1973, 65d. Praha 1975";;;;;
"NA/JAROMÌØ   /1977/745";"Richter M.";"BZO 1973";;;;;"56"
"NA/JAROMÌØ   /1983/100";"Richter M.";"BZO 1973";;;;"1975";"56"
"HK/HRADEC KRÁ/    /529";"Richter M.";"BZO 1967, 36. Praha 1968";;;;;
"PE/PACOV     /1998/003";"Richter M.";"BZO 1965";;;;"1966";"25"
"RK/KOSTELEC N/1957/730";"Richter M.";"AR 19";;;;"1967";"500-510"
"PZ/HRADIŠKO /1958/118";"Richter M.";"AR 15";;;;"1963";"200-219"
"PE/PACOV     /1998/003";"Richter M., Hrdlièka L.";"BZO 1964";;;;"1965";"32-33"
"BE/BEROUN    /    /009";"Richter M., Radomìrskı P.";"126(depot z mesta)";;;;;
"BE/BEROUN    /    /011";"Richter M., Radomìrskı P.";"126(depot z mesta)";;;;;
"BE/BEROUN    /    /015";"Richter M., Radomìrskı P.";"126(depot z mesta)";;;;;
"UO/TISOVÁ    /1991/947";"Richter M., Sigl J.";"Zpravodaj KMVÈ XVIII";;;;"1992";"73-74"
"UO/TISOVÁ    /1987/229";"Richter M., Sigl J.";"Zpravodaj KMVÈ XIV/1";;;;"1987";"89-96"
"UO/TISOVÁ    /1987/406";"Richter M., Sigl J.";"Vızkum Starého mıta v roce 1986, Zpravodaj KMVÈ XIV/1";;;;"1981";"89-96"
"UO/TISOVÁ    /1987/229";"Richter M., Sigl J.";"BZO 1986-87";;;;"1989";"200-1"
"UO/TISOVÁ U V/    /375";"Richter M., Sigl J.";"BZO 1986/1987,468.";;;;;
"TA/PLANÁ NAD /1964/459";"Richter M., Smetánka Z.";"Vızkum v Sezimovì Ústí v r.1964, AR 17";;;;"1965";"648"
"TA/PLANÁ NAD /1963/211";"Richter M., Smetánka Z., Špaèek L.";"Vızkum v Sezimovì Ústí v roce 1962-63, AR 16";;;;"1964";"691-696"
"HK/HRADEC KRÁ/1974/704";"Richter M., Vokolek V.";"Hradec Králové na poè. dìjin";;;;"1975";
"HK/HRADEC KRÁ/    /481";"Richter M., Vokolek V.";"BZO 1974, 54b. Praha 1977.";;;;;
"HK/HRADEC KRÁ/    /482";"Richter M., Vokolek V.";"BZO 1974, 54a. Praha 1977.";;;;;
"HK/HRADEC KRÁ/    /435";"Richter M., Vokolek V.";"BZO 1974, 54a.";;;;;
"HK/HRADEC KRÁ/    /483";"Richter M., Vokolek V.";"BZO 1973, 5Oa. Praha 1975.";;;;;
"HK/HRADEC KRÁ/    /436";"Richter M., Vokolek V.";"BZO 1973, 50a.";;;;;
"HK/HRADEC KRÁ/    /527";"Richter M., Vokolek V.";"BZO 1972, 74b. Praha 1975";;;;;
"HK/HRADEC KRÁ/    /419";"Richter M., Vokolek V.";"BZO 1972, 47 a.";;;;;
"HK/HRADEC KRÁ/    /417";"Richter M., Vokolek V.";"BZO 1969/56";;;;;
"HK/HRADEC KRÁ/    /490";"Richter M., Vokolek V.";"BZO 1969, 36. Praha 1972";;;;;
"HK/HRADEC KRÁ/1971/302";"Richter M., Vokolek V.";"AR 23";;;;"1971";"605-617"
"P6/PRAHA - ØE/2001/658";"Richterová J.";"Zpráva z archeologického vızkumu v Praze 6 - Ruzyni, PSH XXIV";;;;"1991";
"CK/BENEŠOV NA/1998/204";"Richterová J.";"Zaniklá støedovìká osada Lhota u Smeèna, AR 26";;;;"1974";"628-630"
"P6/PRAHA - RU/    /253";"Richterová J.";"PSH IX,1975,211";;;;;
"P9/PRAHA - KY/1988/540";"Richterová J.";"Archaeologica Pragensia 10";;;;"1989";"283"
"KL/KAMENNÉ E/    /387";"Richterová J.";"Archaeologia Historica 6,1981,475-479";;;;;
"P9/PRAHA - HO/1987/321";"Richterová J.";"Archaeologia historica 13";;;;"1988";"501"
"P9/PRAHA - HO/1990/102";"Richterová J.";"Archaeologia historica 13";;;;"1988";"495-508"
"P6/PRAHA - RU/    /262";"Richterová J.";"Arch.Prag.5,1984,355";;;;;
"P7/PRAHA - BU/    /330";"Richterová J.";"AR XXXIV ,1982,523-33";;;;;
"KL/SMEÈNO    /    /617";"Richterová J.";"AR XXVI 1979,628-630";;;;;
"CH/CHEB      /2000/108";"Rimpl H.";"Eger, die Städtebauliche Entwicklung einer deutschen Stadt";;;;"1933";
"LN/LOUNY     /    /448";"Ritter H.";"1944,79-80";;;;;
"LN/HØIVICE   /    /246";"Ritter H.";"1944, str.13";;;;;
"LN/ÈERNÈICE U/    /158";"Ritterová";"KDP,141";;;;;
"PA/BLATO     /    /971";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"18"
"PA/BLATO     /    /969";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/BLATO     /    /970";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/BLATO     /    /968";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"21"
"PA/DRAKOVICE/    /192";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/MIKULOVICE/    /578";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/MIKULOVICE/    /579";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/MIKULOVICE/    /584";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/MIKULOVICE/    /585";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/MIKULOVICE/    /586";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/STARÉ JESE/    /264";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"20"
"PA/DRAKOVICE/    /191";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"21"
"PA/MIKULOVICE/    /583";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"21"
"CR/MEDLEŠICE /    /021";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"32"
"PA/MORAŠICE  /    /601";"Robl R.";"Pod kopcem Mikulovickım";;;;"1932";"32"
"CH/CHEB      /2002/056";"Roèek Z.";"Rozpravy ÈSAV 94";;;;"1984";"3-69"
"CH/CHEB      /2002/543";"Roèek Z.";"Rozpravy ÈSAV 94";;;;"1984";"3-69"
"PJ/STARİ PLZE/    /613";"Rodina K.";"Pozn.ke knize Mons. dr.Josef Beran,Staroplzenske kostely,";;;;"1949";
"P1/PRAHA - HR/2000/638";"Romaòák A.";"Documenta Pragensia VII/1. Pøíspìvek k dìjinám praské fortifikace";;;;"1986";
"PZ/CHİNOV    /    /498";"Rosolová I.";"Zpravodaj stredoceske vlastivedy VI 1974,152-158";;;;"1987";
"PA/BUKOVKA   /    /029";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"112"
"PA/BUKOVKA   /    /028";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/BLATO     /    /973";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/BLATO     /    /974";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/SVOJŠICE  /    /321";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/ÈEPÍ      /    /052";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33, 188"
"PA/BENEŠOVICE/    /922";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"74, 170"
"PA/VALY      /    /448";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"77"
"PA/RYBITVÍ   /    /086";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"167"
"PA/BOHDANEÈ  /    /002";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"176"
"RK/ALBRECHTIC/    /508";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"66"
"HK/OSICE     /    /801";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32, 188"
"PA/PARDUBICE /    /815";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"110, 198"
"PA/PARDUBIÈKY/    /870";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"123"
"PA/PARDUBICE /    /835";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"13"
"PA/STARÉ JESE/    /265";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"15-16, 32"
"PA/LIBIŠANY  /    /510";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"16, 32"
"PA/ZDECHOVICE/    /483";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"166"
"HK/OSICE     /    /802";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"167"
"PA/JENÍKOVICE/    /326";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"167"
"PA/MNÌTICE   /    /592";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"167"
"PA/SVINÈANY  /    /299";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"167"
"PA/MORAVANY  /    /607";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"167-168"
"PA/NEMOŠICE  /    /631";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"167-168"
"PA/DAŠICE    /    /083";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"168"
"PA/PARDUBICE /    /819";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"168"
"PA/ROSICE NAD/    /076";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"168"
"PA/ŠTÌPÁNOV  /    /340";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"168"
"PA/HOLICE    /    /228";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"169"
"PA/HOSTOVICE /    /253";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"168"
"PA/CHVOJENEC /    /308";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"169"
"PA/LITÌTINY  /    /523";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"168"
"PA/SLEPOTICE /    /172";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"169"
"PA/VYSOKÉ CHV/    /475";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"168"
"PA/SLEPOTICE /    /173";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"169"
"HK/URBANICE  /    /208";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"JC/VYSOKÉ VES/    /187";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/JEZBOØICE /    /359";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/KASALIÈKY /    /362";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/KOMÁROV U /    /395";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/LIPOLTICE /    /518";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/POBÌOVICE/    /893";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/PRAVY     /    /922";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/ROHOZNICE /    /012";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/SEMÍN     /    /119";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/VALY      /    /454";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/VELINY    /    /462";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/VYŠEHNÌVIC/    /479";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"170"
"PA/PARDUBICE /    /814";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"173"
"PA/CHOLTICE  /    /287";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"175-176"
"PA/HOLICE    /    /229";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"179"
"PA/LUKOVNA   /    /544";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"188"
"PA/OHRAZENICE/    /637";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"188"
"PA/STARÉ ÈÍVI/    /220";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"188"
"PA/ŠTÌPÁNOV  /    /343";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"188"
"PA/HOLICE    /    /230";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"190"
"PA/MIKULOVICE/    /580";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32-33"
"PA/SVINÈANY  /    /302";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32-33"
"PA/PLATÌNICE /    /886";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32, 65"
"PA/DOLANY    /    /123";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/KUNÌTICE  /    /450";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/RÁBY      /    /975";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/STARÉ DÁN/    /285";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/STARİ MATE/    /290";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"32"
"PA/DOLANY    /    /122";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33, 188"
"PA/CHVOJENEC /    /309";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33, 188"
"PA/DAŠICE    /    /082";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/DRAKOVICE/    /193";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/DRAKOVICE/    /194";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/JEZBOØICE /    /354";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/KUNÌTICE  /    /451";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/NEMOŠICE  /    /630";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/OSTØETÍN  /    /706";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/PARDUBICE /    /831";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/PARDUBICE /    /856";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/ROSICE NAD/    /078";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/ROSICE NAD/    /079";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/SEZEMICE  /    /155";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/SRCH      /    /203";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/STARÉ JESE/    /263";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/TRNOVÁ    /    /363";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"33"
"PA/ØEÈANY NAD/    /105";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"34"
"PA/ROKYTNO   /    /026";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"39, 188"
"PA/SEZEMICE  /    /154";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"39-40, 42"
"PA/PARDUBIÈKY/    /869";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"40, 42"
"PA/PARDUBICE /    /833";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"40-41, 197"
"PA/PARDUBICE /    /834";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"40-41"
"PA/PARDUBICE /    /832";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"58-61, 198"
"PA/DAŠICE    /    /084";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"62-63"
"PA/PØELOUÈ   /    /961";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"68"
"PA/SVOJŠICE  /    /325";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"74, 75, 170"
"PA/SVINÈANY  /    /303";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"74"
"PA/ŠTÌPÁNOV  /    /338";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"74"
"PA/VESELÍ    /    /468";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"74"
"PA/CHOLTICE  /    /291";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"77"
"PA/PARDUBICE /    /855";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"77"
"PA/PARDUBICE /    /854";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"86, 193"
"PA/PARDUBICE /    /828";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"88"
"PA/PARDUBICE /    /829";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"88"
"PA/PARDUBICE /    /830";"Rosùlek F.K.";"Našim i cizím";"Pardubice";;;"1925";"88"
"PA/KUNÌTICE  /    /448";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/KUNÌTICE  /    /449";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/KUNÌTICE  /    /456";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/KUNÌTICE  /    /457";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/KUNÌTICE  /    /459";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/LUKOVNA   /    /548";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/RÁBY      /    /982";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/RÁBY      /    /983";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"21"
"PA/KUNÌTICE  /    /458";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"8"
"PA/OPATOVICE /    /668";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"8"
"PA/RÁBY      /    /979";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"8"
"PA/RÁBY      /    /981";"Rosùlek F.K.";"Kunìtická hora";"Pardubice";;;"1932";"8"
