"Z_MAPA10";"ROHY";"X_JTSK";"Y_JTSK"
"01-21-23";"1_LH";933289,96;844584,66
"01-21-23";"2_PH";934009,47;839927,91
"01-21-23";"3_PD";937766,28;840499,27
"01-21-23";"4_LD";937046,31;845158,97
"01-21-24";"1_LH";934009,47;839927,91
"01-21-24";"2_PH";934728,98;835271,17
"01-21-24";"3_PD";938486,25;835839,56
"01-21-24";"4_LD";937766,28;840499,27
"01-21-25";"1_LH";934728,98;835271,17
"01-21-25";"2_PH";935448,49;830614,43
"01-21-25";"3_PD";939206,21;831179,85
"01-21-25";"4_LD";938486,25;835839,56
"01-22-01";"1_LH";920417,57;828352,73
"01-22-01";"2_PH";921135,25;823707,84
"01-22-01";"3_PD";924893,44;824270,30
"01-22-01";"4_LD";924175,30;828918,15
"01-22-02";"1_LH";921135,25;823707,84
"01-22-02";"2_PH";921852,93;819062,96
"01-22-02";"3_PD";925611,57;819622,46
"01-22-02";"4_LD";924893,44;824270,30
"01-22-03";"1_LH";921852,93;819062,96
"01-22-03";"2_PH";922570,60;814418,08
"01-22-03";"3_PD";926329,71;814974,61
"01-22-03";"4_LD";925611,57;819622,46
"01-22-04";"1_LH";922570,60;814418,08
"01-22-04";"2_PH";923288,28;809773,19
"01-22-04";"3_PD";927047,84;810326,76
"01-22-04";"4_LD";926329,71;814974,61
"01-22-05";"1_LH";923288,28;809773,19
"01-22-05";"2_PH";924005,96;805128,31
"01-22-05";"3_PD";927765,97;805678,91
"01-22-05";"4_LD";927047,84;810326,76
"01-22-06";"1_LH";924175,30;828918,15
"01-22-06";"2_PH";924893,44;824270,30
"01-22-06";"3_PD";928651,62;824832,76
"01-22-06";"4_LD";927933,03;829483,58
"01-22-07";"1_LH";924893,44;824270,30
"01-22-07";"2_PH";925611,57;819622,46
"01-22-07";"3_PD";929370,21;820181,95
"01-22-07";"4_LD";928651,62;824832,76
"01-22-08";"1_LH";925611,57;819622,46
"01-22-08";"2_PH";926329,71;814974,61
"01-22-08";"3_PD";930088,81;815531,14
"01-22-08";"4_LD";929370,21;820181,95
"01-22-09";"1_LH";926329,71;814974,61
"01-22-09";"2_PH";927047,84;810326,76
"01-22-09";"3_PD";930807,40;810880,33
"01-22-09";"4_LD";930088,81;815531,14
"01-22-10";"1_LH";927047,84;810326,76
"01-22-10";"2_PH";927765,97;805678,91
"01-22-10";"3_PD";931525,99;806229,51
"01-22-10";"4_LD";930807,40;810880,33
"01-22-11";"1_LH";927933,03;829483,58
"01-22-11";"2_PH";928651,62;824832,76
"01-22-11";"3_PD";932409,81;825395,22
"01-22-11";"4_LD";931690,76;830049,00
"01-22-12";"1_LH";928651,62;824832,76
"01-22-12";"2_PH";929370,21;820181,95
"01-22-12";"3_PD";933128,86;820741,45
"01-22-12";"4_LD";932409,81;825395,22
"01-22-13";"1_LH";929370,21;820181,95
"01-22-13";"2_PH";930088,81;815531,14
"01-22-13";"3_PD";933847,91;816087,67
"01-22-13";"4_LD";933128,86;820741,45
"01-22-14";"1_LH";930088,81;815531,14
"01-22-14";"2_PH";930807,40;810880,33
"01-22-14";"3_PD";934566,96;811433,89
"01-22-14";"4_LD";933847,91;816087,67
"01-22-15";"1_LH";930807,40;810880,33
"01-22-15";"2_PH";931525,99;806229,51
"01-22-15";"3_PD";935286,01;806780,11
"01-22-15";"4_LD";934566,96;811433,89
"01-22-16";"1_LH";931690,76;830049,00
"01-22-16";"2_PH";932409,81;825395,22
"01-22-16";"3_PD";936167,99;825957,68
"01-22-16";"4_LD";935448,49;830614,43
"01-22-17";"1_LH";932409,81;825395,22
"01-22-17";"2_PH";933128,86;820741,45
"01-22-17";"3_PD";936887,50;821300,94
"01-22-17";"4_LD";936167,99;825957,68
"01-22-18";"1_LH";933128,86;820741,45
"01-22-18";"2_PH";933847,91;816087,67
"01-22-18";"3_PD";937607,01;816644,20
"01-22-18";"4_LD";936887,50;821300,94
"01-22-19";"1_LH";933847,91;816087,67
"01-22-19";"2_PH";934566,96;811433,89
"01-22-19";"3_PD";938326,52;811987,46
"01-22-19";"4_LD";937607,01;816644,20
"01-22-20";"1_LH";934566,96;811433,89
"01-22-20";"2_PH";935286,01;806780,11
"01-22-20";"3_PD";939046,03;807330,71
"01-22-20";"4_LD";938326,52;811987,46
"01-22-21";"1_LH";935448,49;830614,43
"01-22-21";"2_PH";936167,99;825957,68
"01-22-21";"3_PD";939926,18;826520,15
"01-22-21";"4_LD";939206,21;831179,85
"01-22-22";"1_LH";936167,99;825957,68
"01-22-22";"2_PH";936887,50;821300,94
"01-22-22";"3_PD";940646,15;821860,44
"01-22-22";"4_LD";939926,18;826520,15
"01-22-23";"1_LH";936887,50;821300,94
"01-22-23";"2_PH";937607,01;816644,20
"01-22-23";"3_PD";941366,11;817200,73
"01-22-23";"4_LD";940646,15;821860,44
"01-22-24";"1_LH";937607,01;816644,20
"01-22-24";"2_PH";938326,52;811987,46
"01-22-24";"3_PD";942086,08;812541,02
"01-22-24";"4_LD";941366,11;817200,73
"01-22-25";"1_LH";938326,52;811987,46
"01-22-25";"2_PH";939046,03;807330,71
"01-22-25";"3_PD";942806,05;807881,32
"01-22-25";"4_LD";942086,08;812541,02
"01-23-01";"1_LH";935606,38;854478,39
"01-23-01";"2_PH";936326,35;849818,68
